"","Row.names","cities","lon","lat"
"856","864","Pisa",10.4016888,43.7228386
"857","865","Pisa",10.4016888,43.7228386
"858","866","Pisa",NA,NA
"859","867","Pisa",10.4016888,43.7228386
"860","868","Pisa",NA,NA
"861","869","Pisa",10.4016888,43.7228386
"862","87","",NA,NA
"863","870","",NA,NA
"864","871","",NA,NA
"865","872","Ponza",12.9579459,40.9108657
"866","873","Ponza",12.9579459,40.9108657
"867","874","Procida",14.0150996,40.7578412
"868","875","Procida",14.0150996,40.7578412
"869","876","Puglia",17.1011931,40.7928393
"870","877","Aragona",13.618945,37.407403
"871","878","Ravello",14.6117112,40.6491886
"872","879","Ravello",14.6117112,40.6491886
"873","88","",NA,NA
"874","880","Ravenna",12.2035294,44.4183598
"875","881","Reggio Calabria",15.6472914,38.1113006
"876","882","",NA,NA
"877","883","",NA,NA
"878","884","",NA,NA
"879","885","",NA,NA
"880","886","",NA,NA
"881","887","",NA,NA
"882","888","",NA,NA
"883","889","",NA,NA
"884","89","",NA,NA
"885","890","",NA,NA
"886","891","",NA,NA
"887","892","",NA,NA
"888","893","",NA,NA
"889","894","",NA,NA
"890","895","",NA,NA
"891","896","",NA,NA
"892","897","",NA,NA
"893","898","",NA,NA
"894","899","",NA,NA
"895","9","",NA,NA
"896","90","",NA,NA
"897","900","",NA,NA
"898","901","",NA,NA
"899","902","",NA,NA
"900","903","",NA,NA
"901","904","",NA,NA
"902","905","",NA,NA
"903","906","",NA,NA
"904","907","",NA,NA
"905","908","",NA,NA
"906","909","",NA,NA
"907","91","",NA,NA
"908","910","",NA,NA
"909","911","",NA,NA
"910","912","",NA,NA
"911","913","",NA,NA
"912","914","",NA,NA
"913","915","",NA,NA
"914","916","",NA,NA
"915","917","Rodi",-77.2376265,38.917372
"916","918","Rodi",-77.2376265,38.917372
"917","919","Rodi",-77.2376265,38.917372
"918","92","",NA,NA
"919","920","Roma",NA,NA
"920","921","Roma",-95.9036356,36.0766378
"921","922","Roma",-95.9036356,36.0766378
"922","923","Roma",-95.9036356,36.0766378
"923","924","Peloponneso",22.37349,37.5079472
"924","925","Peloponneso",22.37349,37.5079472
"925","926","Rouen",NA,NA
"926","927","",NA,NA
"927","928","",NA,NA
"928","929","Napoli",14.2681244,40.8517746
"929","93","",NA,NA
"930","930","Salerno",NA,NA
"931","931","",NA,NA
"932","932","",NA,NA
"933","933","",NA,NA
"934","934","",NA,NA
"935","935","",NA,NA
"936","936","Sardegna",9.0128926,40.1208752
"937","937","",NA,NA
"938","938","",NA,NA
"939","939","",NA,NA
"940","94","",NA,NA
"941","940","Scozia",-4.2026458,56.4906712
"942","941","Scozia",NA,NA
"943","942","Scozia",NA,NA
"944","943","Scozia",NA,NA
"945","944","",NA,NA
"946","945","",NA,NA
"947","946","",NA,NA
"948","947","",NA,NA
"949","948","",NA,NA
"950","949","",NA,NA
"951","95","",NA,NA
"952","950","",NA,NA
"953","951","",NA,NA
"954","952","",NA,NA
"955","953","",NA,NA
"956","954","",NA,NA
"957","955","",NA,NA
"958","956","",NA,NA
"959","957","",NA,NA
"960","958","",NA,NA
"961","959","",NA,NA
"962","96","",NA,NA
"963","960","Smirne",NA,NA
"964","961","Smirne",27.142826,38.423734
"965","962","Smirne",NA,NA
"966","963","Smirne",27.142826,38.423734
"967","964","",NA,NA
"968","965","",NA,NA
"969","966","",NA,NA
"970","967","",NA,NA
"971","968","",NA,NA
"972","969","",NA,NA
"973","97","",NA,NA
"974","970","",NA,NA
"975","971","Strangford",NA,NA
"976","972","",NA,NA
"977","973","",NA,NA
"978","974","",NA,NA
"979","975","",NA,NA
"980","976","",NA,NA
"981","977","",NA,NA
"982","978","",NA,NA
"983","979","",NA,NA
"984","98","",NA,NA
"985","980","",NA,NA
"986","981","",NA,NA
"987","982","Toscana",11.2486208,43.7710513
"988","983","",NA,NA
